Timestamp/Checkpoint_Reached/Button_Void/X_Controller_Input/Y_Controller_Input/X_Head_Position/Y_Head_Position/Z_Head_Position/X_Head_Tilt/Y_Head_Tilt/Z_Head_Tilt
2024.12.16 16:08:27:67643/0/0/0/0/115,135/543,0937/-272,7561/351,0352/127,8209/0,2471001
2024.12.16 16:08:27:70535/0/0/0/0/115,1346/543,0936/-272,7563/351,03/127,8276/0,2421464
2024.12.16 16:08:27:71832/0/0/0/0/115,135/543,0937/-272,7562/351,0248/127,8162/0,2497664
2024.12.16 16:08:27:73128/0/0/0/0/115,1347/543,0936/-272,7562/351,014/127,8411/0,2411599
2024.12.16 16:08:27:74524/0/0/0/0/115,1347/543,0936/-272,7562/351,0281/127,8377/0,2384093
2024.12.16 16:08:27:75821/0/0/0/0/115,135/543,0937/-272,7561/351,0293/127,8188/0,2535486
2024.12.16 16:08:27:77217/0/0/0/0/115,1347/543,0936/-272,7562/351,022/127,82/0,2487399
2024.12.16 16:08:27:78514/0/0/0/0/115,135/543,0937/-272,7561/351,029/127,834/0,2397835
2024.12.16 16:08:27:80010/0/0/0/0/115,1347/543,0937/-272,7562/351,0356/127,813/0,2474374
2024.12.16 16:08:27:81306/0/0/0/0/115,1351/543,0937/-272,7561/351,0308/127,827/0,2551562
2024.12.16 16:08:27:83002/0/0/0/0/115,1347/543,0936/-272,7562/351,0312/127,832/0,2291079
2024.12.16 16:08:27:85196/0/0/0/0/115,1347/543,0936/-272,7562/351,032/127,8107/0,2552941
2024.12.16 16:08:27:87590/0/0/0/0/115,135/543,0937/-272,7561/351,0378/127,8166/0,2483983
2024.12.16 16:08:27:89685/0/0/0/0/115,1347/543,0936/-272,7562/351,03/127,8274/0,247178
2024.12.16 16:08:27:91978/0/0/0/0/115,1347/543,0936/-272,7562/351,0177/127,8255/0,2444785
2024.12.16 16:08:27:94272/0/0/0/0/115,1349/543,0936/-272,7559/351,0288/127,8321/0,2423449
2024.12.16 16:08:27:96466/0/0/0/0/115,1345/543,0936/-272,756/351,0132/127,819/0,2414868
2024.12.16 16:08:27:98661/0/0/0/0/115,1346/543,0936/-272,7561/351,0199/127,8458/0,2516432
2024.12.16 16:08:28:00855/0/0/0/0/115,1349/543,0937/-272,7561/351,0375/127,8249/0,2417105
2024.12.16 16:08:28:03148/0/0/0/0/115,1345/543,0936/-272,7562/351,0342/127,823/0,2479682
2024.12.16 16:08:28:05343/0/0/0/0/115,1345/543,0936/-272,7562/351,0183/127,8255/0,2334557
2024.12.16 16:08:28:07637/0/0/0/0/115,1348/543,0937/-272,7561/351,0326/127,8349/0,2543311
2024.12.16 16:08:28:09831/0/0/0/0/115,1345/543,0936/-272,7563/351,024/127,826/0,2340428
2024.12.16 16:08:28:12025/0/0/0/0/115,1346/543,0937/-272,7563/351,041/127,8262/0,2409266
2024.12.16 16:08:28:14319/0/0/0/0/115,1345/543,0936/-272,7563/351,0388/127,8131/0,2504803
2024.12.16 16:08:28:16513/0/0/0/0/115,1345/543,0936/-272,7563/351,0201/127,816/0,2386439
2024.12.16 16:08:28:18807/0/0/0/0/115,1345/543,0936/-272,7563/351,018/127,842/0,2450268
2024.12.16 16:08:28:21001/0/0/0/0/115,1348/543,0936/-272,7562/351,0279/127,819/0,2507541
2024.12.16 16:08:28:23195/0/0/0/0/115,1345/543,0936/-272,7563/351,0267/127,8247/0,2516235
2024.12.16 16:08:28:25489/0/0/0/0/115,1344/543,0936/-272,7563/351,0263/127,8191/0,2502146
2024.12.16 16:08:28:27783/0/0/0/0/115,1344/543,0936/-272,7563/351,0237/127,8149/0,2470364
2024.12.16 16:08:28:29977/0/0/0/0/115,1344/543,0936/-272,7562/351,0284/127,8241/0,246219
2024.12.16 16:08:28:31572/0/0/0/0/115,1344/543,0936/-272,7562/351,0076/127,8178/0,2342769
2024.12.16 16:08:28:33068/0/0/0/0/115,1344/543,0936/-272,7562/351,0219/127,8223/0,2487687
2024.12.16 16:08:28:34564/0/0/0/0/115,1344/543,0936/-272,7562/351,0359/127,8192/0,2453755
2024.12.16 16:08:28:36060/0/0/0/0/115,1348/543,0937/-272,7561/351,0355/127,8293/0,2506029
2024.12.16 16:08:28:37656/0/0/0/0/115,1345/543,0936/-272,7562/351,0278/127,8162/0,246964
2024.12.16 16:08:28:39252/0/0/0/0/115,1345/543,0936/-272,7562/351,021/127,8224/0,2581809
2024.12.16 16:08:28:40748/0/0/0/0/115,1345/543,0936/-272,7562/351,0344/127,8287/0,2464379
2024.12.16 16:08:28:42295/0/0/0/0/115,1344/543,0936/-272,756/351,0335/127,8097/0,2534903
2024.12.16 16:08:28:43791/0/0/0/0/115,1344/543,0936/-272,756/351,0361/127,8076/0,2481452
2024.12.16 16:08:28:45287/0/0/0/0/115,1344/543,0936/-272,756/351,0304/127,8172/0,251955
2024.12.16 16:08:28:46783/0/0/0/0/115,1345/543,0936/-272,7561/351,0278/127,817/0,2499348
2024.12.16 16:08:28:48279/0/0/0/0/115,1345/543,0936/-272,756/351,0286/127,8295/0,2350097
2024.12.16 16:08:28:49874/0/0/0/0/115,1345/543,0936/-272,7561/351,0353/127,8253/0,2432272
2024.12.16 16:08:28:51506/0/0/0/0/115,1345/543,0936/-272,7561/351,0296/127,8257/0,2410783
2024.12.16 16:08:28:53101/0/0/0/0/115,1345/543,0936/-272,7562/351,0352/127,8264/0,2455949
2024.12.16 16:08:28:54597/0/0/0/0/115,1345/543,0936/-272,7562/351,0394/127,8276/0,2478653
2024.12.16 16:08:28:56093/0/0/0/0/115,1345/543,0936/-272,7563/351,0414/127,8177/0,2428712
2024.12.16 16:08:28:57589/0/0/0/0/115,1345/543,0936/-272,7562/351,0355/127,8304/0,2347973
2024.12.16 16:08:28:59085/0/0/0/0/115,1345/543,0936/-272,7562/351,0368/127,8203/0,2438513
2024.12.16 16:08:28:60482/0/0/0/0/115,1345/543,0936/-272,7562/351,0352/127,8364/0,2302202
2024.12.16 16:08:28:61978/0/0/0/0/115,1345/543,0936/-272,7562/351,0347/127,826/0,2477911
2024.12.16 16:08:28:63474/0/0/0/0/115,1344/543,0936/-272,7561/351,0323/127,8189/0,2371824
2024.12.16 16:08:28:64970/0/0/0/0/115,1344/543,0936/-272,7561/351,0328/127,8285/0,2444285
2024.12.16 16:08:28:66366/0/0/0/0/115,1344/543,0936/-272,7561/351,0358/127,819/0,2513692
2024.12.16 16:08:28:67862/0/0/0/0/115,1344/543,0936/-272,7561/351,0532/127,8182/0,2408094
2024.12.16 16:08:28:70156/0/1/0/0/115,1343/342,5361/-272,7559/351,0374/127,8041/0,2436104
2024.12.16 16:08:28:71751/0/1/0/0/115,1349/342,5464/-272,756/351,0354/127,864/0,2305284
2024.12.16 16:08:28:73347/0/1/0/0/115,1345/342,5463/-272,7561/351,0325/127,808/0,2466591
2024.12.16 16:08:28:74843/0/1/0/0/115,1346/342,5464/-272,7561/351,0399/127,8557/0,2388428
2024.12.16 16:08:28:76439/0/1/0/0/115,1345/342,5463/-272,7562/351,0325/127,8211/0,2266587
2024.12.16 16:08:28:77935/0/1/0/0/115,1347/342,5464/-272,7561/351,0467/127,8084/0,2340602
2024.12.16 16:08:28:79630/0/1/0/0/115,1346/342,5464/-272,7561/351,0466/127,8148/0,2398884
2024.12.16 16:08:28:81126/0/1/0/0/115,1346/342,5464/-272,7561/351,0454/127,8379/0,2325898
2024.12.16 16:08:28:82622/0/1/0/0/115,1346/342,5464/-272,7561/351,0404/127,8139/0,2340649
2024.12.16 16:08:28:84218/0/1/0/0/115,1346/342,5464/-272,7561/351,0427/127,8201/0,2478487
2024.12.16 16:08:28:85714/0/1/0/0/115,1346/342,5463/-272,7562/351,0452/127,8325/0,2342045
2024.12.16 16:08:28:87210/0/1/0/0/115,1346/342,5464/-272,7561/351,04/127,8271/0,2371072
2024.12.16 16:08:28:88706/0/1/0/0/115,135/342,5464/-272,756/351,0453/127,8358/0,2416602
2024.12.16 16:08:28:90202/0/1/0/0/115,1346/342,5464/-272,7562/351,0206/127,8463/0,207257
2024.12.16 16:08:28:91698/0/1/0/0/115,135/342,5464/-272,7561/351,0294/127,8456/0,2367372
2024.12.16 16:08:28:93294/0/1/0/0/115,1348/342,5464/-272,7562/351,0395/127,819/0,2275199
2024.12.16 16:08:28:95887/0/1/0/0/115,1348/342,5464/-272,7561/351,0425/127,8298/0,2317465
2024.12.16 16:08:28:98081/0/1/0/0/115,1347/342,5464/-272,756/351,0269/127,8312/0,2385112
2024.12.16 16:08:29:00275/0/1/0/0/115,1352/342,5465/-272,7561/351,0338/127,8493/0,231598
2024.12.16 16:08:29:02569/0/1/0/0/115,1348/342,5464/-272,7561/351,0199/127,8193/0,2366209
2024.12.16 16:08:29:05860/0/1/0/0/115,1349/342,5464/-272,7562/351,022/127,8319/0,2379524
2024.12.16 16:08:29:09251/0/1/0/0/115,1349/342,5464/-272,7563/351,0252/127,8052/0,2458467
2024.12.16 16:08:29:12650/0/1/0/0/115,1349/342,5463/-272,7562/350,9928/127,8301/0,2463923
2024.12.16 16:08:29:16041/0/1/0/0/115,1351/342,5464/-272,7564/351,0234/127,8344/0,2497814
2024.12.16 16:08:29:19332/0/1/0/0/115,1349/342,5464/-272,7563/351,0119/127,8293/0,251122
2024.12.16 16:08:29:22623/0/1/0/0/115,135/342,5463/-272,7563/351,016/127,8424/0,2452036
2024.12.16 16:08:29:26114/0/1/0/0/115,135/342,5464/-272,7562/351,0228/127,8209/0,2424419
2024.12.16 16:08:29:29405/0/1/0/0/115,1349/342,5464/-272,756/351,0234/127,8256/0,2543099
2024.12.16 16:08:29:32696/0/1/0/0/115,1348/342,5464/-272,7562/351,029/127,7975/0,2537074
2024.12.16 16:08:29:36087/0/1/0/0/115,1349/342,5464/-272,7561/351,0219/127,8335/0,2296119
2024.12.16 16:08:29:39378/0/1/0/0/115,1351/342,5464/-272,7561/351,029/127,8296/0,2416816
